lat_s,lat_e,k,n,step_s,step_e,index_s,index_e,area_min,area_max,err1,err2
90.000000,89.999625,2880000,1,1,1,0,0,5511.5270,5511.5270,+6.1360%,+6.1360%
89.999625,89.999250,288000,10,2,2,1,10,1653.4581,1653.4581,-4.4776%,-4.4776%
89.999250,89.998875,180000,16,3,3,11,26,1722.3522,1722.3522,-0.4975%,-0.4975%
89.998875,89.998500,120000,24,4,4,27,50,1607.5287,1607.5287,-7.1310%,-7.1310%
89.998500,89.998125,96000,30,5,5,51,80,1653.4581,1653.4581,-4.4776%,-4.4776%
89.998125,89.997750,80000,36,6,6,81,116,1684.0777,1684.0777,-2.7086%,-2.7086%
89.997750,89.997375,72000,40,7,7,117,156,1791.2463,1791.2463,+3.4826%,+3.4826%
89.997375,89.997000,60000,48,8,8,157,204,1722.3522,1722.3522,-0.4975%,-0.4975%
89.997000,89.996625,57600,50,9,9,205,254,1873.9192,1873.9192,+8.2588%,+8.2588%
89.996625,89.996250,48000,60,10,10,255,314,1745.3169,1745.3169,+0.8292%,+0.8292%
89.996250,89.995875,45000,64,11,11,315,378,1808.4698,1808.4698,+4.4777%,+4.4777%
89.995875,89.995500,40000,72,12,12,379,450,1760.6267,1760.6267,+1.7137%,+1.7137%
89.995500,89.995125,36000,80,13,13,451,530,1722.3522,1722.3522,-0.4975%,-0.4975%
89.995125,89.994375,32000,90,14,15,531,710,1653.4581,1775.9365,-4.4776%,+2.5982%
89.994375,89.993625,28800,100,16,17,711,910,1708.5734,1818.8039,-1.2935%,+5.0747%
89.993625,89.992875,24000,120,18,19,911,1150,1607.5287,1699.3875,-7.1310%,-1.8242%
89.992875,89.992500,23040,125,20,20,1151,1275,1719.5964,1719.5964,-0.6567%,-0.6567%
89.992500,89.992125,22500,128,21,21,1276,1403,1765.4110,1765.4110,+1.9901%,+1.9901%
89.992125,89.991375,20000,144,22,23,1404,1691,1645.8032,1722.3522,-4.9198%,-0.4975%
89.991375,89.991000,19200,150,24,24,1692,1841,1726.9451,1726.9451,-0.2321%,-0.2321%
89.991000,89.989875,18000,160,25,27,1842,2321,1687.9051,1825.6933,-2.4875%,+5.4727%
89.989875,89.989125,16000,180,28,29,2322,2681,1684.0777,1745.3169,-2.7086%,+0.8292%
